Name,No,Track,Artist,Album,Track_Url,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,Miliseconds_Played,Genre
tracks,341,Shape of You,Ed Sheeran,÷,spotify:track:7qiZfU4dY1lWllzX7mPBI3,0.825,0.652,1,-3.183,0,0.0802,0.581,0,0.0931,0.931,95.977,9843484,Pop
tracks,342,Yeah! (feat. Lil Jon & Ludacris),Usher,Confessions (Expanded Edition),spotify:track:5rb9QrpfcKFHM1EUbSIurX,0.894,0.791,2,-4.699,1,0.112,0.0183,0,0.0388,0.583,105.18,5895597,Hip Hop/Rap
tracks,343,Wonderful U,AGA,Ginadoll,spotify:track:2eSNpIOFoi1Q8wxw6CycXJ,0.557,0.436,6,-8.569,1,0.0676,0.809,0,0.151,0.246,179.997,6605030,R&B/Soul
tracks,345,2 soon,keshi,2 soon,spotify:track:5SlU0Yhi51jobhEiGE4xDv,0.517,0.663,6,-6.688,0,0.0375,0.146,0,0.322,0.146,174.032,508860,K-Indie
tracks,347,Blank Space,Taylor Swift,1989,spotify:track:1p80LdxRV74UKvL8gnD7ky,0.753,0.678,5,-5.421,1,0.0644,0.85,0.000002,0.13,0.583,96.006,9543824,Pop
tracks,348,星晴,Jay Chou,杰倫,spotify:track:4VWn7L2kONeMEQ6cAIfzXC,0.637,0.329,7,-10.366,1,0.0349,0.725,0.000009,0.245,0.255,177.792,2486458,M-pop
tracks,349,Mean 심술,BOL4,Full Album RED PLANET,spotify:track:3r8mOSPtXvoXSBTbmbaQcP,0.738,0.528,4,-3.992,1,0.0894,0.574,0,0.111,0.52,77.708,2031741,K-pop
tracks,350,Dance Monkey,Tones And I,Dance Monkey (Stripped Back) / Dance Monkey,spotify:track:2XU0oxnq2qxCpomAAuJY8K,0.824,0.588,6,-6.4,0,0.0924,0.692,0.000104,0.149,0.513,98.027,5606046,Electronic/Dance
tracks,351,Cry Me a River,Justin Timberlake,Justified,spotify:track:7Lf7oSEVdzZqTA0kEDSlS5,0.624,0.654,8,-6.582,0,0.183,0.577,0,0.104,0.564,73.898,7181365,Undefinied
tracks,352,是想你的聲音啊,傲七爺,是想你的聲音啊,spotify:track:5T4ALT8LugDODLwAvCg3mL,0.575,0.345,7,-7.6,1,0.034,0.847,0,0.086,0.292,126.006,21240826,M-pop
