End_Time,Artist,Track,Playlist,Miliseconds_Played,
4/1/22 17:08,蒋小呢,For Ya,#N/A,128801,
4/1/22 17:10,N-SONIC,I miss you,#N/A,86726,
4/1/22 17:10,Jayesslee,Officially Missing You,mm1,1393,
4/1/22 17:13,GIRIBOY,Let's Not Love Each Other,mm2,185434,
4/1/22 21:02,Rothy,Star,#N/A,194768,
4/1/22 21:05,Tiësto,Secrets,mm3,141386,
4/1/22 21:06,HIGHST,Breaking,#N/A,80898,
4/1/22 21:06,Kura,Beast Mode,mm3,3157,
4/1/22 21:08,GIRIBOY,Let's Not Love Each Other,mm2,119257,
4/1/22 21:09,余佳运,最好的都给你,mm3,90000,
4/1/22 21:11,Rezz,Someone Else,#N/A,108808,
4/1/22 21:14,CITI,Today,#N/A,5897,
4/1/22 21:14,Lil Ghost小鬼,Good Night,#N/A,144637,
4/1/22 21:15,Tiësto,Secrets,mm3,55008,
4/1/22 21:18,Tiësto,The Business,mm2,111409,
4/2/22 21:15,Lee Seung Chul,My Love (Duet Ver.),#N/A,93635,
4/2/22 21:15,Rothy,Star,#N/A,1110,
4/2/22 21:19,Lee Seung Chul,My Love (Duet Ver.),#N/A,227000,
4/2/22 21:23,Rothy,Star,#N/A,211580,
4/2/22 21:25,Lee Seung Chul,My Love (Duet Ver.),#N/A,122630,
4/2/22 21:44,offonoff,homeless door (Feat. Rad Museum),#N/A,305418,
4/2/22 21:53,offonoff,bath,mm1,5000,
4/2/22 21:54,offonoff,homeless door (Feat. Rad Museum),#N/A,34325,
4/2/22 21:58,Camila Cabello,Havana (feat. Young Thug),#N/A,217306,
4/2/22 22:01,Camila Cabello,Havana (feat. Young Thug),#N/A,217306,
4/2/22 22:05,Camila Cabello,Havana (feat. Young Thug),#N/A,217306,
4/2/22 22:08,Camila Cabello,Havana (feat. Young Thug),#N/A,217306,
4/2/22 22:12,Camila Cabello,Havana (feat. Young Thug),#N/A,217306,
4/2/22 22:12,Camila Cabello,Havana (feat. Young Thug),#N/A,2444,
4/2/22 23:10,Camila Cabello,Havana (feat. Young Thug),#N/A,48101,
4/2/22 23:15,offonoff,homeless door (Feat. Rad Museum),#N/A,305418,
4/2/22 23:18,offonoff,bath,mm1,182501,
4/2/22 23:23,offonoff,bath,mm1,261705,
4/2/22 23:28,offonoff,homeless door (Feat. Rad Museum),#N/A,303324,
4/2/22 23:32,Tiësto,Secrets,mm3,250946,
4/2/22 23:34,蒋小呢,For Ya,#N/A,89743,
4/2/22 23:35,李承鉉,Things I Do For Love,#N/A,81030,
4/2/22 23:38,Tiësto,Secrets,mm3,6989,
4/2/22 23:38,slchld,say what's on your mind,mm1,173740,
4/2/22 23:43,offonoff,homeless door (Feat. Rad Museum),#N/A,305418,
4/3/22 0:07,offonoff,bath,mm1,147641,
4/3/22 1:39,That’s So Extra,Welcome to That’s So Extra! ,#N/A,537066,
4/3/22 12:52,offonoff,homeless door (Feat. Rad Museum),#N/A,305418,
4/3/22 12:57,offonoff,bath,mm1,247860,
4/3/22 13:02,offonoff,bath,mm1,7400,
4/3/22 13:02,offonoff,homeless door (Feat. Rad Museum),#N/A,305418,
4/3/22 13:23,OuiOui,Thinkin' bout you,#N/A,2530,
4/3/22 13:26,Tiësto,The Business,mm2,164000,
4/3/22 13:29,Kura,Beast Mode,mm3,161600,
4/3/22 13:31,Wocean Wang,唯一 - Wocean Remix,#N/A,174760,
4/3/22 13:36,GIRIBOY,Let's Not Love Each Other,mm2,242999,
4/3/22 13:38,CITI,Today,#N/A,122030,
4/3/22 13:38,PATEKO,"Rainy day (Feat. ASH ISLAND, Skinny Brown)",#N/A,6270,
4/3/22 13:38,Rezz,Someone Else,#N/A,5190,
4/3/22 13:44,Rezz,Edge,#N/A,217870,
4/3/22 19:19,Bright Vachirawit,Shooting Star - เพลงประกอบซีรีส์ F4 Thailand : หัวใจรักสี่ดวงดาว BOYS OVER FLOWERS,#N/A,226976,
4/3/22 19:23,Bright Vachirawit,Who am I - เพลงประกอบซีรีส์ F4 Thailand : หัวใจรักสี่ดวงดาว BOYS OVER FLOWERS,#N/A,228750,
4/3/22 19:26,ดิว จิรวรรตน์,In the Wind - เพลงประกอบซีรีส์ F4 Thailand : หัวใจรักสี่ดวงดาว BOYS OVER FLOWERS,#N/A,204545,
4/3/22 19:27,ฟลุ๊ค กวิน,โลกของฉันคือเธอ - เพลงประกอบซีรีส์ F4 Thailand : หัวใจรักสี่ดวงดาว BOYS OVER FLOWERS,#N/A,65353,
4/3/22 19:31,Violette Wautier,One Last Cry - เพลงประกอบซีรีส์ F4 Thailand : หัวใจรักสี่ดวงดาว BOYS OVER FLOWERS,#N/A,216521,
4/3/22 19:32,Bright Vachirawit,Nighttime - เพลงประกอบซีรีส์ F4 Thailand : หัวใจรักสี่ดวงดาว BOYS OVER FLOWERS,#N/A,48258,
4/3/22 19:36,Lee Seung Chul,My Love (Duet Ver.),#N/A,227000,
4/3/22 19:39,Rothy,Star,#N/A,226234,
4/3/22 19:42,Estelle Fly,HEAVY,#N/A,145496,
4/3/22 19:45,Wocean Wang,唯一 - Wocean Remix,#N/A,169737,
4/3/22 19:47,Boon Hui Lu,Losing Myself (feat. GBOYSWAG),#N/A,163329,
4/3/22 19:48,조은,한참 지나서,#N/A,60232,
4/3/22 19:52,李承鉉,Things I Do For Love,#N/A,231711,
